cough,pushbike,drawer,cooking,keys,slidingDoorclose,train,lake,switch,buspassby,footstepsongrass,lightrain,chairsmoving,doorclose,knock,mindthegap,motorbike,birdsong,keylock,wind,trolley,bagrustle,laughter,footsteps,gate,checkoutbeeps,running,doorslam,speech,clearthroat,money,phone
[[0.823303]],[[0.8604165]],[[0.863054]],[[0.7648192]],[[0.8681754]],[[0.80060744]],[[0.8045581]],[[0.7780886]],[[0.8493135]],[[0.7443952]],[[0.7206645]],[[0.79490024]],[[0.8799755]],[[0.6606601]],[[0.79060906]],[[0.80064976]],[[0.9045876]],[[0.54908645]],[[0.82366246]],[[0.75422615]],[[0.7619555]],[[0.70201004]],[[0.78216445]],[[0.72951764]],[[0.7938445]],[[0.87432086]],[[0.8067826]],[[0.6566438]],[[0.7362224]],[[0.83215564]],[[0.797248]],[[0.76446146]]
[[0.9370767]],[[0.8130363]],[[0.85361314]],[[0.8743025]],[[0.80059516]],[[0.8865469]],[[0.8080628]],[[0.8340812]],[[0.77859074]],[[0.8636511]],[[0.7101736]],[[0.8644029]],[[0.90745604]],[[0.83057463]],[[0.9152719]],[[0.81525403]],[[0.81799996]],[[0.62715054]],[[0.82045996]],[[0.78827274]],[[0.8627647]],[[0.8654288]],[[0.815406]],[[0.74710906]],[[0.82476825]],[[0.8673328]],[[0.7875711]],[[0.82337207]],[[0.8576486]],[[0.8226919]],[[0.6964182]],[[0.7594063]]
[[0.88989115]],[[0.8614229]],[[0.8546393]],[[0.8074186]],[[0.8617501]],[[0.8213441]],[[0.7864504]],[[0.8904815]],[[0.82138765]],[[0.8799062]],[[0.7337705]],[[0.80865633]],[[0.8599257]],[[0.802769]],[[0.91733634]],[[0.841581]],[[0.89242893]],[[0.6532662]],[[0.8343881]],[[0.7958489]],[[0.77608657]],[[0.7770158]],[[0.82920414]],[[0.77117056]],[[0.85659534]],[[0.9330957]],[[0.789094]],[[0.7641883]],[[0.8467558]],[[0.8561101]],[[0.7482346]],[[0.7717279]]
[[0.90440035]],[[0.8274348]],[[0.8236134]],[[0.70949787]],[[0.86452293]],[[0.7761674]],[[0.7242897]],[[0.80506265]],[[0.8348804]],[[0.8031677]],[[0.60495096]],[[0.8066956]],[[0.8312148]],[[0.7996136]],[[0.8940766]],[[0.7790561]],[[0.84600663]],[[0.6166685]],[[0.792748]],[[0.7575981]],[[0.8148815]],[[0.8372491]],[[0.772886]],[[0.6531066]],[[0.8399942]],[[0.92719173]],[[0.6996511]],[[0.7398331]],[[0.79178363]],[[0.8667985]],[[0.71386856]],[[0.7520034]]
[[0.9932192]],[[0.8849418]],[[0.83277404]],[[0.7771765]],[[0.8976441]],[[0.9327252]],[[0.92828715]],[[0.87743366]],[[0.9580296]],[[0.8571509]],[[0.7474203]],[[0.9122909]],[[0.89659625]],[[0.82895994]],[[0.9246247]],[[0.91467917]],[[0.8771378]],[[0.71058804]],[[0.78754866]],[[0.822841]],[[0.8978527]],[[0.8893602]],[[0.8389226]],[[0.81021535]],[[0.9544494]],[[0.8971021]],[[0.9545325]],[[0.84136534]],[[0.8154411]],[[0.91653806]],[[0.8758881]],[[0.8169072]]
[[0.8161269]],[[0.8608424]],[[0.8599166]],[[0.81094784]],[[0.77754045]],[[0.7947562]],[[0.7649339]],[[0.8800249]],[[0.81812614]],[[0.84524465]],[[0.72926706]],[[0.7994542]],[[0.89107895]],[[0.7636825]],[[0.78235936]],[[0.7386811]],[[0.8749165]],[[0.6683877]],[[0.83885634]],[[0.76632226]],[[0.8398782]],[[0.8520483]],[[0.5948386]],[[0.7576024]],[[0.8073665]],[[0.88032573]],[[0.7241285]],[[0.77443576]],[[0.832418]],[[0.8052789]],[[0.7635983]],[[0.7296857]]
[[0.75684774]],[[0.81224823]],[[0.8068567]],[[0.7613953]],[[0.8414154]],[[0.81164205]],[[0.714569]],[[0.8185411]],[[0.80687517]],[[0.80536383]],[[0.6490145]],[[0.7819153]],[[0.8214513]],[[0.7945427]],[[0.7800875]],[[0.7740498]],[[0.81659275]],[[0.6043999]],[[0.8062628]],[[0.7432971]],[[0.7599392]],[[0.7870778]],[[0.4796325]],[[0.6976765]],[[0.8158171]],[[0.8851277]],[[0.7188184]],[[0.7109998]],[[0.7898741]],[[0.8222144]],[[0.67904174]],[[0.66385716]]
[[0.7883807]],[[0.88360626]],[[0.8951405]],[[0.81654197]],[[0.85740006]],[[0.8159952]],[[0.8161347]],[[0.83366346]],[[0.8116192]],[[0.8369585]],[[0.6972039]],[[0.80255634]],[[0.87484896]],[[0.8049179]],[[0.8396667]],[[0.74522567]],[[0.87152493]],[[0.67551315]],[[0.86605644]],[[0.74887884]],[[0.83166987]],[[0.84360665]],[[0.6609842]],[[0.7326256]],[[0.87702405]],[[0.9674932]],[[0.7670063]],[[0.74612683]],[[0.7557298]],[[0.85781085]],[[0.75376856]],[[0.7171317]]
[[0.8639667]],[[0.84042567]],[[0.90158963]],[[0.6919635]],[[0.7963145]],[[0.8604052]],[[0.769688]],[[0.7479185]],[[0.92883706]],[[0.78123957]],[[0.7274583]],[[0.75659204]],[[0.8696384]],[[0.7714393]],[[0.80900335]],[[0.8426907]],[[0.9000612]],[[0.60579854]],[[0.84944767]],[[0.75703]],[[0.687249]],[[0.82465374]],[[0.7836622]],[[0.7674825]],[[0.8102958]],[[0.8518415]],[[0.77903044]],[[0.69686383]],[[0.89440036]],[[0.846032]],[[0.7269528]],[[0.78036237]]
[[0.8565216]],[[0.8110437]],[[0.8852092]],[[0.7693943]],[[0.8582917]],[[0.83416224]],[[0.70757854]],[[0.8147774]],[[0.81751555]],[[0.86453587]],[[0.6719706]],[[0.7833143]],[[0.78862965]],[[0.83357394]],[[0.8725481]],[[0.83398426]],[[0.8314562]],[[0.6123939]],[[0.83084166]],[[0.74949217]],[[0.77543545]],[[0.8073631]],[[0.7268224]],[[0.6932274]],[[0.84629965]],[[0.95508516]],[[0.71635056]],[[0.7693872]],[[0.81895125]],[[0.88624126]],[[0.73679173]],[[0.7094521]]
[[0.8530957]],[[0.7978722]],[[0.8248545]],[[0.8048924]],[[0.8220514]],[[0.8136739]],[[0.77114916]],[[0.7969191]],[[0.75445336]],[[0.8557218]],[[0.6223724]],[[0.7902428]],[[0.8510009]],[[0.8179345]],[[0.76644474]],[[0.77916276]],[[0.84145576]],[[0.6163435]],[[0.8083025]],[[0.7179081]],[[0.78834355]],[[0.82642174]],[[0.7322063]],[[0.7242942]],[[0.86716086]],[[0.99014574]],[[0.7853333]],[[0.73222435]],[[0.79688466]],[[0.8822448]],[[0.7409904]],[[0.7210964]]
[[0.87069994]],[[0.8064765]],[[0.85124314]],[[0.80021197]],[[0.8746841]],[[0.73277456]],[[0.75930965]],[[0.7875077]],[[0.82554495]],[[0.8436254]],[[0.6187966]],[[0.8137255]],[[0.7968932]],[[0.729014]],[[0.81959724]],[[0.8101931]],[[0.8230532]],[[0.6198257]],[[0.7713901]],[[0.7348875]],[[0.7601323]],[[0.7941992]],[[0.7464308]],[[0.63551384]],[[0.80395687]],[[0.9817609]],[[0.7446678]],[[0.6632085]],[[0.8125264]],[[0.8213608]],[[0.6976533]],[[0.70468944]]
[[0.7008299]],[[0.80989206]],[[0.8269414]],[[0.6761433]],[[0.7928815]],[[0.8621602]],[[0.7120832]],[[0.7446781]],[[0.7575271]],[[0.8711622]],[[0.8379824]],[[0.71091104]],[[0.8150916]],[[0.777142]],[[0.7755035]],[[0.78001755]],[[0.7051435]],[[0.60603607]],[[0.7891559]],[[0.]],[[0.74302614]],[[0.6810366]],[[0.6762364]],[[0.74635494]],[[0.76051843]],[[0.89761066]],[[0.6345351]],[[0.7105838]],[[0.7160486]],[[0.82948315]],[[0.67172784]],[[0.68754536]]
[[0.85521376]],[[0.95302796]],[[0.8837049]],[[0.89290893]],[[0.8633721]],[[0.9290038]],[[0.80720305]],[[0.90466607]],[[0.9845912]],[[0.9017432]],[[0.84690094]],[[0.82198143]],[[0.8849884]],[[0.86478055]],[[0.929329]],[[0.9299271]],[[0.9139193]],[[0.81456184]],[[0.96078044]],[[0.6225128]],[[0.82729393]],[[0.8366496]],[[0.8979972]],[[0.8134011]],[[0.9488459]],[[1.0225053]],[[0.82407856]],[[0.82283026]],[[0.9302096]],[[0.83383894]],[[0.94597584]],[[0.885477]]
[[0.8527994]],[[1.0187364]],[[1.0261732]],[[0.92523944]],[[0.94393444]],[[1.0207547]],[[0.9517502]],[[0.930689]],[[0.9943935]],[[1.0123951]],[[0.87618047]],[[1.0017899]],[[0.9405128]],[[0.9715385]],[[0.9017694]],[[0.92870355]],[[0.90924907]],[[0.6810291]],[[0.943959]],[[0.48291516]],[[0.9577221]],[[0.9297286]],[[0.862697]],[[0.911695]],[[1.0285958]],[[0.9750766]],[[0.9149928]],[[0.82603943]],[[0.77677965]],[[0.958479]],[[0.9560873]],[[0.8941574]]
[[0.7138552]],[[0.80811775]],[[0.81980395]],[[0.71416354]],[[0.79696244]],[[0.80810916]],[[0.74279314]],[[0.68262714]],[[0.7706815]],[[0.7876657]],[[0.8691168]],[[0.6816133]],[[0.9321097]],[[0.81154144]],[[0.82417846]],[[0.8341817]],[[0.7847046]],[[0.7059724]],[[0.782179]],[[0.45438898]],[[0.8254312]],[[0.8001906]],[[0.7113708]],[[0.7635026]],[[0.8027336]],[[0.88199496]],[[0.76210207]],[[0.67235166]],[[0.7857007]],[[0.8905654]],[[0.79110456]],[[0.6921871]]
[[0.6429486]],[[0.73603314]],[[0.8364382]],[[0.70499325]],[[0.788223]],[[0.807604]],[[0.74883646]],[[0.63385177]],[[0.73538846]],[[0.7501673]],[[0.81615907]],[[0.6392082]],[[0.8775161]],[[0.7835184]],[[0.72882056]],[[0.8354463]],[[0.7908436]],[[0.6120167]],[[0.7762483]],[[0.54011315]],[[0.77086484]],[[0.69535464]],[[0.5842408]],[[0.72878575]],[[0.78274286]],[[0.858187]],[[0.6780356]],[[0.6418841]],[[0.7136229]],[[0.8651738]],[[0.69905096]],[[0.6232104]]
[[0.7977583]],[[0.7666592]],[[0.83911145]],[[0.6161809]],[[0.76909995]],[[0.8975966]],[[0.67881125]],[[0.5115955]],[[0.76516014]],[[0.8568424]],[[0.83236206]],[[0.6965555]],[[0.7412925]],[[0.73787916]],[[0.7825165]],[[0.8262739]],[[0.69371986]],[[0.63823223]],[[0.8181057]],[[0.6026688]],[[0.74628824]],[[0.699527]],[[0.66188097]],[[0.75080955]],[[0.7391145]],[[0.79455614]],[[0.6423086]],[[0.7378156]],[[0.7050571]],[[0.7753097]],[[0.50814253]],[[0.58967984]]
[[0.70226]],[[0.7819356]],[[0.8676417]],[[0.6785174]],[[0.7743972]],[[0.8831247]],[[0.7013104]],[[0.60060704]],[[0.72329986]],[[0.8424225]],[[0.7945663]],[[0.71037805]],[[0.7703354]],[[0.7837436]],[[0.79323244]],[[0.8572858]],[[0.732949]],[[0.6128073]],[[0.8354487]],[[0.44000065]],[[0.77436686]],[[0.70588326]],[[0.5903608]],[[0.68679345]],[[0.75759965]],[[0.79980797]],[[0.683603]],[[0.69433224]],[[0.669519]],[[0.8185041]],[[0.6220853]],[[0.6130797]]
[[0.79135066]],[[0.7535359]],[[0.8831303]],[[0.92157465]],[[0.8592883]],[[0.78099]],[[0.8464651]],[[0.7690543]],[[0.80278814]],[[0.8389069]],[[0.79986507]],[[0.7197294]],[[0.8826812]],[[0.7919057]],[[0.8913599]],[[0.8581764]],[[0.7974977]],[[0.69066846]],[[0.8372867]],[[0.5722966]],[[0.79261017]],[[0.6670654]],[[0.68844193]],[[0.7232057]],[[0.85124195]],[[0.8161381]],[[0.8208802]],[[0.7583254]],[[0.82578456]],[[0.7652971]],[[0.8143078]],[[0.74136037]]
[[0.9093655]],[[0.9421033]],[[0.99298775]],[[0.87329185]],[[0.92611974]],[[0.9505819]],[[0.9459336]],[[0.72764814]],[[0.9290746]],[[0.9646131]],[[0.96000355]],[[0.85562634]],[[0.9142591]],[[0.9718533]],[[0.9687843]],[[1.022361]],[[0.86447775]],[[0.81194127]],[[1.0190855]],[[0.6434504]],[[0.9809654]],[[0.85942054]],[[0.8361522]],[[0.8920902]],[[0.9271228]],[[0.9429594]],[[0.97122294]],[[0.9245285]],[[0.85899353]],[[0.8858511]],[[0.9638974]],[[0.8446214]]
[[0.8698428]],[[0.86793005]],[[0.90656936]],[[0.7524025]],[[0.796868]],[[0.88514197]],[[0.74717265]],[[0.6359502]],[[0.74577284]],[[0.8123605]],[[0.87443143]],[[0.69126296]],[[0.90052986]],[[0.85025173]],[[0.8248272]],[[0.84426475]],[[0.90078104]],[[0.7472517]],[[0.89488137]],[[0.67817295]],[[0.87914896]],[[0.81092477]],[[0.75522316]],[[0.83696103]],[[0.8250096]],[[0.81821716]],[[0.68935263]],[[0.84069884]],[[0.7808777]],[[0.85038435]],[[0.76881915]],[[0.6613993]]
[[0.8983947]],[[0.70923936]],[[0.820993]],[[0.9021473]],[[0.84994125]],[[0.7157094]],[[0.7358951]],[[0.5409792]],[[0.8042779]],[[0.74812764]],[[0.705432]],[[0.68660206]],[[0.8616234]],[[0.719856]],[[0.84462905]],[[0.8360177]],[[0.75269616]],[[0.69464076]],[[0.92945737]],[[0.66054493]],[[0.7093863]],[[0.78475666]],[[0.72826976]],[[0.6763796]],[[0.7189191]],[[0.7870029]],[[0.7129382]],[[0.7206874]],[[0.7566875]],[[0.7974311]],[[0.74166983]],[[0.7084614]]
[[0.84660137]],[[0.7245352]],[[0.77126175]],[[0.76165336]],[[0.74016225]],[[0.88238084]],[[0.71762615]],[[0.44604915]],[[0.7645565]],[[0.77447706]],[[0.7634661]],[[0.7152785]],[[0.836759]],[[0.74047434]],[[0.78245354]],[[0.7704507]],[[0.64025223]],[[0.65521646]],[[0.783473]],[[0.5706019]],[[0.75761926]],[[0.718844]],[[0.76399916]],[[0.73634493]],[[0.7232146]],[[0.8118287]],[[0.7136633]],[[0.7092658]],[[0.71479875]],[[0.8365902]],[[0.66910094]],[[0.58881605]]
[[0.9087677]],[[0.75705945]],[[0.93176883]],[[0.7973664]],[[0.82608616]],[[0.8931874]],[[0.779418]],[[0.5915606]],[[0.789546]],[[0.85690135]],[[0.8166568]],[[0.74694943]],[[0.7955917]],[[0.832497]],[[0.8084549]],[[0.8896137]],[[0.7082777]],[[0.7196525]],[[0.9405914]],[[0.5429173]],[[0.75613165]],[[0.8044095]],[[0.79427886]],[[0.70504797]],[[0.7993405]],[[0.8101295]],[[0.7174917]],[[0.8401525]],[[0.79631317]],[[0.84804285]],[[0.7879125]],[[0.6352706]]
[[0.76931685]],[[0.8207662]],[[0.75239193]],[[0.6612696]],[[0.5711889]],[[0.8740859]],[[0.6449137]],[[0.6597564]],[[0.67910826]],[[0.8678841]],[[0.8272061]],[[0.65889925]],[[0.8406132]],[[0.7364836]],[[0.7500639]],[[0.75583243]],[[0.78938854]],[[0.7501887]],[[0.7613123]],[[0.61590207]],[[0.75536245]],[[0.78698593]],[[0.72191036]],[[0.80778944]],[[0.7030714]],[[0.76757324]],[[0.7043931]],[[0.7324945]],[[0.8274899]],[[0.7664688]],[[0.6611346]],[[0.67757]]
[[0.7003664]],[[0.86949915]],[[0.82775927]],[[0.664387]],[[0.8462451]],[[0.7071907]],[[0.73980796]],[[0.84073305]],[[0.7842463]],[[0.8309409]],[[0.74383116]],[[0.7591234]],[[0.7936189]],[[0.6896789]],[[0.83238304]],[[0.6781482]],[[0.8954507]],[[0.6175808]],[[0.76152366]],[[0.61897236]],[[0.8354622]],[[0.6584273]],[[0.65855074]],[[0.73849225]],[[0.7244872]],[[0.86988735]],[[0.67109704]],[[0.7092503]],[[0.7094928]],[[0.81393075]],[[0.76018465]],[[0.7695024]]
[[0.7011277]],[[0.7282037]],[[0.7540575]],[[0.57509714]],[[0.6981505]],[[0.78888476]],[[0.6835728]],[[0.70887554]],[[0.6458035]],[[0.87168753]],[[0.74496406]],[[0.6794724]],[[0.78231084]],[[0.6914965]],[[0.71219647]],[[0.8002636]],[[0.7053307]],[[0.7290337]],[[0.73674846]],[[0.5895675]],[[0.8305203]],[[0.73768824]],[[0.55635214]],[[0.62100005]],[[0.6784147]],[[0.8091352]],[[0.6213829]],[[0.65932286]],[[0.6691791]],[[0.8560128]],[[0.5577226]],[[0.59124976]]
[[0.71572775]],[[0.7431277]],[[0.80311555]],[[0.7076648]],[[0.8204777]],[[0.841903]],[[0.80200624]],[[0.77584445]],[[0.7947016]],[[0.804662]],[[0.7565429]],[[0.71472]],[[0.7961428]],[[0.6963283]],[[0.7006824]],[[0.8261127]],[[0.7926586]],[[0.7105909]],[[0.73055327]],[[0.7278396]],[[0.77629995]],[[0.6492381]],[[0.62393355]],[[0.69478095]],[[0.7292372]],[[0.8393658]],[[0.7283003]],[[0.6956538]],[[0.73564976]],[[0.84291303]],[[0.7256458]],[[0.66851103]]
[[0.7679036]],[[0.55496013]],[[0.6529449]],[[0.7823971]],[[0.74236864]],[[0.7869261]],[[0.54600704]],[[0.73383534]],[[0.70730793]],[[0.70462704]],[[0.80736005]],[[0.7892877]],[[0.75642073]],[[0.71675265]],[[0.79263085]],[[0.80002856]],[[0.40564364]],[[0.769387]],[[0.78849167]],[[0.6921309]],[[0.4960233]],[[0.7225831]],[[0.6995375]],[[0.7043264]],[[0.7103115]],[[0.8176093]],[[0.6689916]],[[0.7004533]],[[0.6928864]],[[0.83935755]],[[0.6671262]],[[0.58331406]]
[[0.92150944]],[[0.6561393]],[[0.79915047]],[[0.89098686]],[[0.8464776]],[[0.84491557]],[[0.6648646]],[[0.56233263]],[[0.8372301]],[[0.7635436]],[[0.8249104]],[[0.8043072]],[[0.7769065]],[[0.8123201]],[[0.9286002]],[[0.8989612]],[[0.5159023]],[[0.7711186]],[[0.8912374]],[[0.69575423]],[[0.5215602]],[[0.7662414]],[[0.8018575]],[[0.80794]],[[0.84996647]],[[0.8122474]],[[0.7912218]],[[0.7815531]],[[0.82614446]],[[0.8697421]],[[0.7731276]],[[0.76653636]]
[[0.88426703]],[[0.76085687]],[[0.7485204]],[[0.76636595]],[[0.86828023]],[[0.86526895]],[[0.6719747]],[[0.74206406]],[[0.7626353]],[[0.83582175]],[[0.7588707]],[[0.74782914]],[[0.7159341]],[[0.7157652]],[[0.8660064]],[[0.8353767]],[[0.65747935]],[[0.69610804]],[[0.88258153]],[[0.60961854]],[[0.5998632]],[[0.8289394]],[[0.768962]],[[0.7699434]],[[0.7838198]],[[0.8262322]],[[0.7274164]],[[0.76130456]],[[0.7400798]],[[0.9069677]],[[0.73270804]],[[0.73311245]]
[[0.82639194]],[[0.7587966]],[[0.74530923]],[[0.748476]],[[0.831524]],[[0.892212]],[[0.65059936]],[[0.56004286]],[[0.8324074]],[[0.78437626]],[[0.77932584]],[[0.78051174]],[[0.640318]],[[0.7850436]],[[0.8965531]],[[0.8307055]],[[0.6880435]],[[0.7417695]],[[0.81629944]],[[0.72529817]],[[0.6159003]],[[0.7653856]],[[0.77881444]],[[0.8027981]],[[0.8197932]],[[0.8597747]],[[0.6951219]],[[0.8061395]],[[0.8071185]],[[0.9272196]],[[0.7539704]],[[0.73029673]]
[[0.9464318]],[[0.6543585]],[[0.7532618]],[[0.7916017]],[[0.8560329]],[[0.83822477]],[[0.63578546]],[[0.6853124]],[[0.8138188]],[[0.7730017]],[[0.74702275]],[[0.75620633]],[[0.76168466]],[[0.77888113]],[[0.84928846]],[[0.7908112]],[[0.46919322]],[[0.700014]],[[0.8394626]],[[0.6486903]],[[0.60680187]],[[0.85453933]],[[0.7972248]],[[0.7350991]],[[0.78463507]],[[0.81212026]],[[0.6905207]],[[0.72363293]],[[0.7713296]],[[0.9055668]],[[0.74255943]],[[0.75733507]]
[[0.7888315]],[[0.7433542]],[[0.75337]],[[0.75895923]],[[0.68763125]],[[0.87484026]],[[0.56270355]],[[0.8127187]],[[0.6858129]],[[0.82229996]],[[0.80233586]],[[0.78389436]],[[0.78304267]],[[0.75429225]],[[0.7116255]],[[0.75959134]],[[0.75348043]],[[0.77225006]],[[0.8249331]],[[0.7128186]],[[0.6505984]],[[0.8035462]],[[0.6676781]],[[0.7777615]],[[0.6706991]],[[0.7235242]],[[0.74508613]],[[0.7537391]],[[0.78195286]],[[0.8608185]],[[0.62103057]],[[0.65315306]]
[[0.8648238]],[[0.6434624]],[[0.8546784]],[[0.8520057]],[[0.8285254]],[[0.9044691]],[[0.6809627]],[[0.80093026]],[[0.79586565]],[[0.7644868]],[[0.905571]],[[0.9029077]],[[0.85553217]],[[0.8684155]],[[0.87032306]],[[0.8934793]],[[0.41126418]],[[0.8786286]],[[0.87182045]],[[0.8541838]],[[0.61649734]],[[0.837708]],[[0.86559314]],[[0.80253685]],[[0.7493814]],[[0.91992176]],[[0.7701605]],[[0.78069663]],[[0.75268185]],[[0.8823507]],[[0.83818614]],[[0.79319763]]
[[0.70774806]],[[0.59805]],[[0.65073454]],[[0.71734315]],[[0.69759667]],[[0.8251886]],[[0.56221265]],[[0.73492867]],[[0.67360616]],[[0.75706255]],[[0.78759134]],[[0.7890723]],[[0.73105067]],[[0.71595836]],[[0.7395227]],[[0.734707]],[[0.45868886]],[[0.71289253]],[[0.7460066]],[[0.64207447]],[[0.5730502]],[[0.7309637]],[[0.66181004]],[[0.682363]],[[0.6926229]],[[0.825036]],[[0.60120213]],[[0.6870642]],[[0.6609052]],[[0.83846354]],[[0.5221802]],[[0.45445877]]
[[0.93429714]],[[0.7550655]],[[0.96435577]],[[0.7875718]],[[0.7713964]],[[0.91118]],[[0.81718075]],[[0.9085079]],[[0.80923784]],[[0.8086129]],[[0.8799186]],[[0.8616793]],[[0.9668137]],[[0.8965439]],[[0.9175709]],[[0.8836528]],[[0.70978785]],[[0.81154156]],[[0.80410326]],[[0.7906023]],[[0.8154826]],[[0.9413673]],[[0.8220184]],[[0.780409]],[[0.8588679]],[[0.8837613]],[[0.83780265]],[[0.77260286]],[[0.80550814]],[[0.8904324]],[[0.8771818]],[[0.81227237]]
[[0.6582372]],[[0.8160274]],[[0.8278455]],[[0.81194496]],[[0.8203267]],[[0.9245607]],[[0.74540377]],[[0.88616085]],[[0.7829654]],[[0.8783638]],[[0.8572085]],[[0.7712213]],[[0.82167804]],[[0.8196078]],[[0.66615134]],[[0.726632]],[[0.8145397]],[[0.82253146]],[[0.84284866]],[[0.8083248]],[[0.8389622]],[[0.8340135]],[[0.6604134]],[[0.8313734]],[[0.8081367]],[[0.8380302]],[[0.78541625]],[[0.7156518]],[[0.7810702]],[[0.84380054]],[[0.82336247]],[[0.7607233]]
[[0.94443685]],[[0.7301059]],[[0.8317735]],[[0.89079916]],[[0.8324598]],[[0.76863587]],[[0.7627666]],[[0.93726695]],[[0.7682322]],[[0.80589366]],[[0.8554313]],[[0.90075743]],[[0.94095355]],[[0.7211187]],[[0.8960394]],[[0.8276764]],[[0.7005204]],[[0.82465005]],[[0.72511494]],[[0.8847518]],[[0.783311]],[[0.86093247]],[[0.8168812]],[[0.751294]],[[0.7914276]],[[0.7923321]],[[0.80224794]],[[0.7734972]],[[0.8482903]],[[0.8364167]],[[0.9071265]],[[0.710057]]
[[1.0203272]],[[1.0134825]],[[0.9398495]],[[0.95732194]],[[0.89435726]],[[0.9479604]],[[0.9352171]],[[1.0630393]],[[0.800699]],[[1.0016607]],[[0.9524669]],[[0.9053965]],[[0.98214287]],[[0.8913112]],[[1.0794628]],[[0.8671641]],[[0.904259]],[[0.96142536]],[[0.94040567]],[[0.79951096]],[[0.98633546]],[[1.0836403]],[[1.0475718]],[[0.9308769]],[[0.8831195]],[[1.073786]],[[0.80518174]],[[0.883748]],[[0.9234654]],[[0.9674236]],[[0.9710775]],[[0.93763167]]
[[0.77007294]],[[0.6634301]],[[0.8367141]],[[0.7321331]],[[0.871751]],[[0.6987809]],[[0.71463966]],[[0.7805959]],[[0.7726385]],[[0.8234968]],[[0.79786736]],[[0.7886244]],[[0.6029241]],[[0.8646877]],[[0.84204894]],[[0.88733643]],[[0.62687606]],[[0.75859123]],[[0.83492136]],[[0.7384189]],[[0.73931724]],[[0.68318826]],[[0.70081383]],[[0.72870237]],[[0.8095784]],[[0.96777874]],[[0.66238]],[[0.8116673]],[[0.82459354]],[[0.9210081]],[[0.7594211]],[[0.79712564]]
[[0.80267483]],[[0.6808088]],[[0.9136719]],[[0.93070245]],[[0.8925179]],[[0.76622885]],[[0.88636935]],[[0.95160776]],[[0.9411811]],[[0.91456544]],[[0.7776517]],[[0.8914081]],[[0.795812]],[[0.7594453]],[[0.81967497]],[[0.853012]],[[0.7146509]],[[0.77930593]],[[0.91394484]],[[0.71217763]],[[0.75732917]],[[0.73535776]],[[0.7065573]],[[0.7212793]],[[0.80360544]],[[0.87573075]],[[0.7904295]],[[0.76837254]],[[0.78352046]],[[0.7728096]],[[0.9333515]],[[0.86513424]]
[[0.85389984]],[[0.7160778]],[[0.8939157]],[[0.94519836]],[[0.89456356]],[[0.90959364]],[[0.68520355]],[[0.8805979]],[[0.85323036]],[[0.6667125]],[[0.95396507]],[[0.9137385]],[[0.8746471]],[[0.9300627]],[[0.8910794]],[[0.842839]],[[0.66028863]],[[0.8801168]],[[0.9070925]],[[0.77560925]],[[0.6361306]],[[0.89222485]],[[0.92851055]],[[0.8068241]],[[0.8200505]],[[0.83800423]],[[0.81171155]],[[0.84093153]],[[0.8597425]],[[0.8838219]],[[0.90108776]],[[0.838758]]
[[0.8273014]],[[0.6855296]],[[0.7503969]],[[0.78934294]],[[0.81612766]],[[0.8054248]],[[0.5951822]],[[0.76281893]],[[0.7940489]],[[0.86180645]],[[0.81191134]],[[0.8620973]],[[0.8040874]],[[0.82156897]],[[0.8228218]],[[0.8041425]],[[0.5492576]],[[0.762531]],[[0.7835046]],[[0.7849994]],[[0.7726292]],[[0.8380084]],[[0.79104996]],[[0.7888488]],[[0.8286805]],[[0.8673272]],[[0.5677558]],[[0.80212706]],[[0.7733232]],[[0.8989957]],[[0.70846754]],[[0.67438555]]
[[0.7586096]],[[0.5712071]],[[0.65372056]],[[0.75285137]],[[0.77837974]],[[0.8324306]],[[0.48173505]],[[0.6821471]],[[0.6855434]],[[0.7177698]],[[0.79558194]],[[0.7981016]],[[0.7566373]],[[0.7053108]],[[0.73276174]],[[0.79832435]],[[0.48546326]],[[0.7434784]],[[0.78549063]],[[0.7287717]],[[0.55897206]],[[0.7071897]],[[0.66421235]],[[0.70755064]],[[0.6586502]],[[0.75612247]],[[0.66814226]],[[0.64751524]],[[0.7242335]],[[0.87602055]],[[0.6077273]],[[0.6202795]]
[[0.76846075]],[[0.7105607]],[[0.8550049]],[[0.871652]],[[0.8775156]],[[0.8217007]],[[0.83488125]],[[0.93680143]],[[0.74798]],[[0.8524108]],[[0.92075497]],[[0.90281105]],[[0.77137566]],[[0.8270025]],[[0.8077842]],[[0.89120984]],[[0.6116154]],[[0.8670298]],[[0.85051197]],[[0.6876709]],[[0.79314196]],[[0.7611644]],[[0.7370228]],[[0.8301979]],[[0.79172885]],[[0.9308691]],[[0.79893804]],[[0.83178157]],[[0.8634572]],[[0.8858953]],[[0.84075534]],[[0.84669256]]
[[0.88007915]],[[0.775164]],[[0.91041344]],[[0.82702696]],[[0.7375594]],[[0.8593134]],[[0.79169667]],[[0.861137]],[[0.76697856]],[[0.80461836]],[[0.8363423]],[[0.8642044]],[[0.9985593]],[[0.8497955]],[[0.8986043]],[[0.8813684]],[[0.7409316]],[[0.7609942]],[[0.81312925]],[[0.69131124]],[[0.82500607]],[[0.8330305]],[[0.79346424]],[[0.79819286]],[[0.7771394]],[[0.8556966]],[[0.84406674]],[[0.69633526]],[[0.8551003]],[[0.87520725]],[[0.8411492]],[[0.8208625]]
